"REGION,C,2";"DEP,C,3";"AR,C,1";"CHEFLIEU,C,5";"TNCC,C,1";"ARTMAJ,C,5";"NCC,C,70";"ARTMIN,C,5";"NCCENR,C,70"
"82";"01";"1";"01034";"0";;"BELLEY";;"Belley"
"82";"01";"2";"01053";"0";;"BOURG-EN-BRESSE";;"Bourg-en-Bresse"
"82";"01";"3";"01173";"0";;"GEX";;"Gex"
"82";"01";"4";"01269";"0";;"NANTUA";;"Nantua"
"22";"02";"1";"02168";"0";;"CHATEAU-THIERRY";;"Château-Thierry"
"22";"02";"2";"02408";"0";;"LAON";;"Laon"
"22";"02";"3";"02691";"0";;"SAINT-QUENTIN";;"Saint-Quentin"
"22";"02";"4";"02722";"0";;"SOISSONS";;"Soissons"
"22";"02";"5";"02789";"0";;"VERVINS";;"Vervins"
"83";"03";"1";"03185";"0";;"MONTLUCON";;"Montluçon"
"83";"03";"2";"03190";"0";;"MOULINS";;"Moulins"
"83";"03";"3";"03310";"0";;"VICHY";;"Vichy"
"93";"04";"1";"04019";"0";;"BARCELONNETTE";;"Barcelonnette"
"93";"04";"2";"04039";"0";;"CASTELLANE";;"Castellane"
"93";"04";"3";"04070";"0";;"DIGNE-LES-BAINS";;"Digne-les-Bains"
"93";"04";"4";"04088";"0";;"FORCALQUIER";;"Forcalquier"
"93";"05";"1";"05023";"0";;"BRIANCON";;"Briançon"
"93";"05";"2";"05061";"0";;"GAP";;"Gap"
"93";"06";"1";"06069";"0";;"GRASSE";;"Grasse"
"93";"06";"2";"06088";"0";;"NICE";;"Nice"
"82";"07";"1";"07132";"0";;"LARGENTIERE";;"Largentière"
"82";"07";"2";"07186";"0";;"PRIVAS";;"Privas"
"82";"07";"3";"07324";"0";;"TOURNON-SUR-RHONE";;"Tournon-sur-Rhône"
"21";"08";"1";"08105";"0";;"CHARLEVILLE-MEZIERES";;"Charleville-Mézières"
"21";"08";"2";"08362";"0";;"RETHEL";;"Rethel"
"21";"08";"3";"08409";"0";;"SEDAN";;"Sedan"
"21";"08";"4";"08490";"0";;"VOUZIERS";;"Vouziers"
"73";"09";"1";"09122";"0";;"FOIX";;"Foix"
"73";"09";"2";"09225";"0";;"PAMIERS";;"Pamiers"
"73";"09";"3";"09261";"0";;"SAINT-GIRONS";;"Saint-Girons"
"21";"10";"1";"10033";"0";;"BAR-SUR-AUBE";;"Bar-sur-Aube"
"21";"10";"2";"10268";"0";;"NOGENT-SUR-SEINE";;"Nogent-sur-Seine"
"21";"10";"3";"10387";"0";;"TROYES";;"Troyes"
"91";"11";"1";"11069";"0";;"CARCASSONNE";;"Carcassonne"
"91";"11";"2";"11206";"0";;"LIMOUX";;"Limoux"
"91";"11";"3";"11262";"0";;"NARBONNE";;"Narbonne"
"73";"12";"1";"12145";"0";;"MILLAU";;"Millau"
"73";"12";"2";"12202";"0";;"RODEZ";;"Rodez"
"73";"12";"3";"12300";"0";;"VILLEFRANCHE-DE-ROUERGUE";;"Villefranche-de-Rouergue"
"93";"13";"1";"13001";"1";;"AIX-EN-PROVENCE";;"Aix-en-Provence"
"93";"13";"2";"13004";"1";;"ARLES";;"Arles"
"93";"13";"3";"13055";"0";;"MARSEILLE";;"Marseille"
"93";"13";"4";"13047";"1";;"ISTRES";;"Istres"
"25";"14";"1";"14047";"0";;"BAYEUX";;"Bayeux"
"25";"14";"2";"14118";"0";;"CAEN";;"Caen"
"25";"14";"3";"14366";"0";;"LISIEUX";;"Lisieux"
"25";"14";"4";"14762";"0";;"VIRE";;"Vire"
"83";"15";"1";"15014";"1";;"AURILLAC";;"Aurillac"
"83";"15";"2";"15120";"0";;"MAURIAC";;"Mauriac"
"83";"15";"3";"15187";"0";;"SAINT-FLOUR";;"Saint-Flour"
"54";"16";"1";"16015";"1";;"ANGOULEME";;"Angoulême"
"54";"16";"2";"16102";"0";;"COGNAC";;"Cognac"
"54";"16";"3";"16106";"0";;"CONFOLENS";;"Confolens"
"54";"17";"1";"17197";"0";;"JONZAC";;"Jonzac"
"54";"17";"2";"17299";"0";;"ROCHEFORT";;"Rochefort"
"54";"17";"3";"17300";"3";"(LA)";"ROCHELLE";"(La)";"Rochelle"
"54";"17";"4";"17415";"0";;"SAINTES";;"Saintes"
"54";"17";"5";"17347";"0";;"SAINT-JEAN-D'ANGELY";;"Saint-Jean-d'Angély"
"24";"18";"1";"18033";"0";;"BOURGES";;"Bourges"
"24";"18";"2";"18197";"0";;"SAINT-AMAND-MONTROND";;"Saint-Amand-Montrond"
"24";"18";"3";"18279";"0";;"VIERZON";;"Vierzon"
"74";"19";"1";"19031";"0";;"BRIVE-LA-GAILLARDE";;"Brive-la-Gaillarde"
"74";"19";"2";"19272";"0";;"TULLE";;"Tulle"
"74";"19";"3";"19275";"1";;"USSEL";;"Ussel"
"94";"2A";"1";"2A004";"1";;"AJACCIO";;"Ajaccio"
"94";"2A";"4";"2A272";"0";;"SARTENE";;"Sartène"
"94";"2B";"2";"2B033";"0";;"BASTIA";;"Bastia"
"94";"2B";"3";"2B096";"0";;"CORTE";;"Corte"
"94";"2B";"5";"2B050";"0";;"CALVI";;"Calvi"
"26";"21";"1";"21054";"0";;"BEAUNE";;"Beaune"
"26";"21";"2";"21231";"0";;"DIJON";;"Dijon"
"26";"21";"3";"21425";"0";;"MONTBARD";;"Montbard"
"53";"22";"1";"22050";"0";;"DINAN";;"Dinan"
"53";"22";"2";"22070";"0";;"GUINGAMP";;"Guingamp"
"53";"22";"3";"22113";"0";;"LANNION";;"Lannion"
"53";"22";"4";"22278";"0";;"SAINT-BRIEUC";;"Saint-Brieuc"
"74";"23";"1";"23008";"1";;"AUBUSSON";;"Aubusson"
"74";"23";"2";"23096";"0";;"GUERET";;"Guéret"
"72";"24";"1";"24037";"0";;"BERGERAC";;"Bergerac"
"72";"24";"2";"24311";"0";;"NONTRON";;"Nontron"
"72";"24";"3";"24322";"0";;"PERIGUEUX";;"Périgueux"
"72";"24";"4";"24520";"0";;"SARLAT-LA-CANEDA";;"Sarlat-la-Canéda"
"43";"25";"1";"25056";"0";;"BESANCON";;"Besançon"
"43";"25";"2";"25388";"0";;"MONTBELIARD";;"Montbéliard"
"43";"25";"3";"25462";"0";;"PONTARLIER";;"Pontarlier"
"82";"26";"1";"26113";"0";;"DIE";;"Die"
"82";"26";"2";"26220";"0";;"NYONS";;"Nyons"
"82";"26";"3";"26362";"0";;"VALENCE";;"Valence"
"23";"27";"1";"27016";"4";"(LES)";"ANDELYS";"(Les)";"Andelys"
"23";"27";"2";"27056";"0";;"BERNAY";;"Bernay"
"23";"27";"3";"27229";"1";;"EVREUX";;"Évreux"
"24";"28";"1";"28085";"0";;"CHARTRES";;"Chartres"
"24";"28";"2";"28088";"0";;"CHATEAUDUN";;"Châteaudun"
"24";"28";"3";"28134";"0";;"DREUX";;"Dreux"
"24";"28";"4";"28280";"0";;"NOGENT-LE-ROTROU";;"Nogent-le-Rotrou"
"53";"29";"1";"29019";"0";;"BREST";;"Brest"
"53";"29";"2";"29026";"0";;"CHATEAULIN";;"Châteaulin"
"53";"29";"3";"29151";"0";;"MORLAIX";;"Morlaix"
"53";"29";"4";"29232";"0";;"QUIMPER";;"Quimper"
"91";"30";"1";"30007";"1";;"ALES";;"Alès"
"91";"30";"2";"30189";"0";;"NIMES";;"Nîmes"
"91";"30";"3";"30350";"2";"(LE)";"VIGAN";"(Le)";"Vigan"
"73";"31";"1";"31395";"0";;"MURET";;"Muret"
"73";"31";"2";"31483";"0";;"SAINT-GAUDENS";;"Saint-Gaudens"
"73";"31";"3";"31555";"0";;"TOULOUSE";;"Toulouse"
"73";"32";"1";"32013";"1";;"AUCH";;"Auch"
"73";"32";"2";"32107";"0";;"CONDOM";;"Condom"
"73";"32";"3";"32256";"0";;"MIRANDE";;"Mirande"
"72";"33";"1";"33058";"0";;"BLAYE";;"Blaye"
"72";"33";"2";"33063";"0";;"BORDEAUX";;"Bordeaux"
